,0
483, 'computer science']
484,['accounting'
485, 'marketing'
486, 'business'
487, 'support'
488, 'database']
489,[]
490,['business intelligence'
491, 'accounting'
492, 'engineering'
493, 'python'
494, 'finance'
495, 'business'
496, 'support'
497, 'database'
498, 'computer science']
499,['amp']
500,['medium'
501, 'server'
502, 'javascript'
503, 'software'
504, 'marketing'
505, 'monitoring'
506, 'python']
507,['search algorithm'
508, 'support'
509, 'visualization'
510, 'database']
511,['machine learning'
512, 'snowflake'
513, 'design'
514, 'airflow'
515, 'business']
516,['machine learning'
517, 'component'
518, 'design'
519, 'project management'
520, 'monitoring'
521, 'specification'
522, 'business'
523, 'user interface'
524, 'database']
525,['collaboration'
526, 'database'
527, 'back office']
528,['artificial intelligence'
529, 'deployment'
530, 'engineering'
531, 'framework'
532, 'marketing'
533, 'amp'
534, 'finance'
535, 'interaction'
536, 'monitoring'
537, 'business'
538, 'support'
539, 'security'
540, 'computer science']
541,['algorithm'
542, 'machine learning'
543, 'artificial intelligence'
544, 'documentation'
545, 'engineering'
546, 'software'
547, 'design'
548, 'support'
549, 'python'
550, 'ai'
551, 'monitoring'
552, 'business'
553, 'amp'
554, 'database']
555,[]
556,['visualization'
557, 'material'
558, 'database'
559, 'segmentation']
560,['machine learning'
561, 'nosql'
562, 'github'
563, 'engineering'
564, 'visualization'
565, 'monitoring'
566, 'business'
567, 'python']
568,['support']
569,['support'
570, 'marketing'
571, 'programming language'
572, 'tableau']
573,['algorithm'
574, 'machine learning'
575, 'segmentation'
576, 'design'
577, 'programming language'
578, 'business'
579, 'python'
580, 'security']
581,['documentation'
582, 'marketing'
583, 'segmentation'
584, 'monitoring'
585, 'business'
586, 'python']
587,['algorithm'
588, 'simulation'
589, 'engineering'
590, 'segmentation'
591, 'amp'
592, 'visualization'
593, 'specification'
594, 'business'
595, 'support']
596,['business intelligence'
597, 'engineering'
598, 'tableau'
599, 'software'
600, 'finance'
601, 'business'
602, 'support'
603, 'python']
604,['machine learning'
605, 'engineering'
606, 'flask'
607, 'framework'
608, 'analytics'
609, 'deep learning'
610, 'django'
611, 'ranking'
612, 'mode'
613, 'ai'
614, 'business'
615, 'python']
616,['machine learning'
617, 'engineering'
618, 'tensorflow'
619, 'computer vision'
620, 'deep learning'
621, 'image processing'
622, 'library'
623, 'ai'
624, 'monitoring'
625, 'business'
626, 'python'
627, 'computer science']
628,['algorithm'
629, 'statistical model'
630, 'marketing'
631, 'support'
632, 'specification'
633, 'ai'
634, 'monitoring'
635, 'amp'
636, 'database']
637,['support'
638, 'project management'
639, 'monitoring'
640, 'amp'
641, 'database']
642,['support'
643, 'python']
644,['machine learning'
645, 'python'
646, 'visualization'
647, 'business'
648, 'database']
649,[]
650,['machine learning'
651, 'business'
652, 'time series'
653, 'segmentation']
654,['algorithm'
655, 'machine learning'
656, 'business']
657,['algorithm']
658,['machine learning'
659, 'azure'
660, 'software'
661, 'marketing'
662, 'segmentation'
663, 'design'
664, 'random forest'
665, 'commerce'
666, 'amp'
667, 'python']
668,['python']
669,['machine learning'
670, 'tableau'
671, 'python'
672, 'deep learning'
673, 'mode'
674, 'database']
675,[]
676,['machine learning'
677, 'docker'
678, 'deep learning'
679, 'ai'
680, 'collaboration'
681, 'python']
682,[]
683,['artificial intelligence'
684, 'time series'
685, 'python'
686, 'programming language']
687,['simulation'
688, 'artificial intelligence'
689, 'engineering'
690, 'visualization'
691, 'computer science']
692,[]
693,['java'
694, 'software'
695, 'javascript'
696, 'support'
697, 'react'
698, 'business'
699, 'amp'
700, 'python']
